moneyText,moneyNum,sqFt
"$3,200",3200,744
"$5,300",5300,1517
"$2,385",2385,550
"$3,600",3600,1450
"$2,800",2800,850
"$2,350",2350,900
"$2,000",2000,560
"$2,800",2800,850
"$2,495",2495,690
"$2,600",2600,535
"$4,500",4500,1600
"$3,095",3095,800
"$2,950",2950,700
"$2,500",2500,800
"$2,400",2400,500
"$2,100",2100,500
"$2,395",2395,500
"$3,800",3800,1299
"$4,500",4500,2112
"$3,400",3400,1300
"$4,450",4450,850
"$3,500",3500,850
"$4,200",4200,1600
"$4,795",4795,1000
"$3,795",3795,700
"$3,995",3995,1200
"$2,700",2700,750
"$3,500",3500,1600
"$2,795",2795,1000
"$2,895",2895,650
"$2,395",2395,600
"$2,200",2200,2600
"$3,995",3995,1200
"$2,800",2800,581
"$3,998",3998,1100
"$4,900",4900,1330
"$6,250",6250,2400
"$4,995",4995,1450
"$5,950",5950,1200
"$3,600",3600,700